Top 100,Org Rk,Name,Org,Pos,Current Level,ETA,FV,Risk,Trend,Age,Ht,Wt,B,T,Sign Yr,Sign Mkt,Sign Org,Bonus,Signed From,Report,Video,PlayerId
1,1,"Jesús Made","MIL","SS","AA",2027,"65","Med",,"19.2194444","6' 1""","180","S","R",2024,"Intl15","MIL",950000,"Dominican Republic","Made torched the 2024 DSL with one of the league's more cartoonish all-time stat lines: .331/.458/.554, with 21 extra-base hits in 51 games. His underlying TrackMan data was even more absurd — 90% in-zone contact, 89% overall contact, 15% chase rate, 108 mph max exit velo, 104 mph EV90, 47% hard-hit rate — especially when you consider Made's age. Some of these marks are comfortably two standard deviations above the big league average. At the start of 2025, Made ranked as the 38th-best prospect in baseball, the second-highest ranking ever at FanGraphs for an international signee who hadn't yet played in the U.S. (Luis Robert Jr., who was slightly older, ranked 21st overall in 2018 after playing in the 2017 DSL). In just a couple months of stateside pro ball, he began to climb even higher, and he ended the year as the second overall prospect in the sport. 
Though Made's underlying TrackMan data from 2025 wasn't as nutty as his DSL debut (76% contact, 81% in-zone, 105 mph EV90, 42% hard-hit), it was still incredible for a kid who was sent to full-season ball at age 17. Made is an incredibly talented hitter with eruptive bat speed. The verve and explosion with which his body whips around like the head of an owl throughout his swing is not normal, and what's nuttier is that he's capable of it from both sides of the plate. He can impact the baseball with lift in much of the zone (including when he's crowded around his hands), and his swing has a gorgeous finish when he takes his best cuts. This is as electric a swinger and athlete as there is in the minors, and all of that talent is weaponized by Made's plate skills and feel for contact, which is great for a switch-hitter his age. Though he lacks the overt physical projection of 6-foot-3 shortstops like Corey Seager or Carlos Correa, Made likely isn't done growing, and might have something approaching their power at peak thanks to his incredible bat speed, which might end up in Robinson Canó/Ketel Marte territory. 
On defense, Made has unpolished talent but special long-term ceiling. His throwing accuracy needs to improve, but his acrobatic range and athleticism allow him to make some incredible plays, especially when he has to throw across his body. His throwing accuracy needs polish. On several routine plays, his tactile feel for releasing the baseball is poor; he'll pronate over the top of one and short hop it to the first baseman, while airmailing the next. This is absolutely something to monitor, but it isn’t a physical shortcoming and is likely to be cleaned up with reps. Made has a shot to be a five-tool player where everything is plus or better, a franchise-altering talent who might debut before he's 20.","rOTUFJ9eZbs","sa3024108"
2,1,"Franklin Arias","BOS","SS","AAA",2027,"60","Med",1,"20.6888888","5' 11""","170","R","R",2023,"Intl15","BOS",525000,"Dominican Republic","Arias thrust himself onto the elite prospect map with a big 2024 season, when he hit .309 with nine homers split between the complex and Low-A. He arguably topped that performance last year, climbing three levels as a 19-year-old while hitting .278/.335/.388 and finishing at Double-A. He entered the season as our 14th overall prospect graded as a 55 FV, and has improved to such an excellent degree at Double-A Portland (his OPS is hovering around 1.000 as of publication and his measureable power is up) that he demands an elevation in his grade. Indeed, at this rate, Arias has a non-zero shot of being the top overall prospect in baseball at some point during the next 12 months.
Arias is a line drive shooter with a gorgeous, well-connected swing, and he’s among the toughest minor leaguers to strike out. He does so many things well at the plate. He makes elite rates of contact (88% overall, 93% in zone), tends to hit the ball hard when he connects (39% hard-hit rate), and has some of the easiest hitting mechanics you'll see. He gets the foot down on time, lets pitches travel deep, manipulates the bat path, keeps his head still, and tracks pitches exceptionally well; you practically have to go frame by frame to find a flaw in this guy's swing. Analysts and scouts are aligned here: This is a mature hitter with a good approach. Similar to Royals star Maikel Garcia at the same age, Arias has baseball skills in spades and simply needs to grow into his body to add power, which has started to happen.
Arias is also a plus defender. Eric dove deep on his glove last fall — the piece offers a lot of detail, and there’s accompanying video too — but the nuts and bolts are that he’s a polished and well-rounded shortstop. He ranges well to both sides, he’s a good bender who can get the ball out quickly and accurately from all angles, and he’s got a well-calibrated internal clock that keeps his operation under control unless he really needs to hurry. You’d like to see better glovework on scorchers, but that’s the kind of thing that can improve with time. Even if it doesn't, he’s still quite good there.
This is among the highest-floored prospects in baseball. Arias' defense at short and his feel for contact should enable him to be an average everyday shortstop at minimum, and any additional strength or maturation in his approach could well push him into dynamic, top-of-the-order All-Star territory.","JjSL8B4cXss","sa3021845"
3,1,"Kade Anderson","SEA","SP","AA",2026,"60","Low",1,"22.0583333","6' 2""","186","L","L",2025,"Draft","SEA",8800000,"LSU","Anderson was a 1:1 candidate after a dominant season at LSU, but had to ""settle"" for the third pick and the second-highest bonus in the 2025 class. He is a spindly, 6-foot-2 lefty who'll show you four plus pitches. His fastball sits 92-95 mph with vertical ride, and it plays up because his loose arm action hides it until the very last moment. It generated a whopping 35% miss rate in 2025. The way his fastball plays means Anderson's command of it doesn't have to be precise; it rides enough to evade barrels in the strike zone. His slider, a mid-80s offering with big two-planed wipe, is often a pitch he goes to when he needs a strike, and he threw it for strikes at a 70% clip last year. His curveball and changeup usage doesn't exceed that of his slider, even against right-handed hitters. That might change in pro ball, as Anderson's changeup (which he sells with his whip-cracking arm speed) has enough late action to miss bats, and his curveball has lovely downward trajectory and depth that should make it a platoon neutralizer. He can also dump the curveball in the zone for strikes. 
Anderson is definitely a control-over-command type; he doesn't have great touch and feel for surgical location. He's a power pitcher, and his stuff plays like a power pitcher's despite the velocity. He doesn't have ideal size like Paul Skenes, who looks like he eats 200 innings for breakfast; he's skinnier and has just the one year of being stretched out like this, though his stuff was crisp late in the season. This is a fast-moving mid-rotation starter who has the toolkit to get just about anyone out. Whether Anderson starts in Double-A or not, he should get there quickly and a 2026 debut isn't out of the question.",,"sa3026056"
4,1,"Walker Jenkins","MIN","CF","AAA",2026,"60","Med",1,"21.4388888","6' 3""","215","L","R",2023,"Draft","MIN",7140000,"South Brunswick HS (NC)","Jenkins' writeup on our preseason Top 100 led with the line that his “career has been defined by his frequent trips to the IL and excellent performance when healthy.” True to form, Jenkins was hitting .256/.396/.389 with a 18.8% chase rate and 93.3% in zone contact rate as a 21-year-old at Triple-A when he slammed into the wall and suffered a Grade 2 AC sprain in his left shoulder at the start of May, sidelining him just as he was heating up. He's recently started hitting live pitching again and could be set for a rehab assignment soon.
The former fifth overall pick still has rapturous control of the strike zone, tracks and whacks breaking balls beautifully, and has walked more than he has struck out at the Triple-A level. Along with a long-levered and strongly built frame, those are good bones for offensive stardom. But Jenkins was running a .333 xSLG at the time of his injury, and while his present top-end exit velos have scraped the big league average, the shakiness of the third pillar in his offensive profile is as much about his swing as it is his physicality. His lower half setup is fairly spread out, his leg drive is conservative, and he inside-outs fastballs more than he pulls and lofts them at this point, producing hard-hit rates that are just ok. Teams that value prospects who make great swing decisions and plus rates of contact have recently been reaping the rewards of waiting for more power to arrive, and Jenkins’ reps have been limited, though admittedly that's because he’s been racking up injuries that could further stagger the development of impact power.
Maybe he won't need it right away. Jenkins isn't pushing Byron Buxton anywhere, but he has the polish to be a passable range-limited fill-in option in center field, and he hurt himself making a great catch on the run. He’s just an average runner, but his defensive acumen and hit tool are enough to make him an eventual 3-WAR player in an outfield corner, even if it feels like there should be another level he can unlock.","7k8r46pXFDI","sa3022894"
5,1,"Max Clark","DET","CF","AAA",2027,"60","Med",,"21.6","6' 1""","205","L","L",2023,"Draft","DET",7700000,"Franklin HS (IN)","In a normal year, Clark would have been a 1:1 candidate out of high school. In the 2023 draft, with Paul Skenes, Wyatt Langford, and Dylan Crews lurking around, he had to settle for third overall and the draft’s fourth-largest bonus at nearly $7.7 million. Even as that class has already produced multiple stars and nearly a dozen big leaguers, it still looks like Detroit chose well. And after hitting .271/.403/.432 across stints at High- and Double-A, Clark enters 2026 with a shot to debut later this summer. 
Clark has a mature blend of tools and skills that belie his young age. His feel to hit stands out, and has since he was a high school sophomore. He’s a quick rotator with lightning-fast hands and a great ability to track the ball. He has a quick bat with a level stroke that facilitates contact up and down the zone, and he’s strong enough to pull his hands in and drive pitches on the inside corner. Clark has grown into more power than we forecast last year, comfortably average already, and at this point is likely to grow into more. He could be a 20-homer guy at maturity and if he falls a little short, the reliability with which he squares up the ball should still lead to plenty of line drive doubles and triples. A good approach helps all of this play up. It’s perhaps a tad passive, but Clark doesn’t swing at garbage, and he walked more than he struck out last season. 
Defensively, Clark’s 70 speed facilitates above-average to plus range. His reads and routes are still maturing, but the overall package is that of an above-average outfielder, with a chance for more if he really takes to the finer points of the job. Ultimately, no one aspect of Clark’s game stands out because he’s so good across the board. He’s skilled on both sides of the ball, he has a bunch of ways to impact the game, and he’s had the production to match his quick ascent through the minors. He’s been preparing for the highest level for a long time now — he has a crew that travels with him everywhere and takes care of his social media accounts — and it won't be long until he and his entourage reach Motown.","yt4_ilKyXhE","sa3022683"
6,1,"Leo De Vries","ATH","SS","AA",2027,"60","High",,"19.7944444","6' 2""","210","S","R",2024,"Intl15","SDP",4200000,"Dominican Republic","De Vries was unanimously viewed as the best prospect in the 2024 international class, a potential do-everything, switch-hitting infielder with power from both sides of the plate. He signed for just over $4 million, which is about what you'd expect from a top-of-the-market player. Same as they have with other of their recent high-profile prospects, the Padres wasted no time in pushing De Vries' promotion pace; most players his age are in the DSL and domestic complex leagues during their first two seasons, while De Vries broke camp in 2025 at High-A Fort Wayne. He was dealt to the Athletics at last year’s deadline as part of the Mason Miller trade and instantly became the A’s top prospect. 
After more than holding his own as an 18-year-old in High-A, De Vries was incredible down the stretch at Double-A Midland, where he hit .281/.359/.551 with five homers in 103 plate appearances. He followed that with a .426/.460/.723 2026 Cactus League line in 50 plate appearances, and broke camp back in Midland. The pace at which De Vries has conquered the minor leagues gives him a very real shot to debut before he turns 20 in October of this year, and add another young, franchise-changing player to the A's everyday lineup as they transition from Sacramento to Las Vegas. 
De Vries is a switch-hitting shortstop with weaponized power from both sides of the plate. He is a plus athlete, twitchy with good body control. He has a quick bat and a lofted stroke from both sides of the plate, with perhaps a little more verve and bat control from the left side. His exit velocities are more fringy or average than above at this point, which isn’t unexpected because — it is worth periodically reiterating — he was 18 years old last season and has plenty of physical development ahead. At peak, De Vries is going to be dangerous on every swing he takes. His hands are quick enough to make contact in all parts of the zone, and he has home run power from line to line. Though his lift-heavy style of hitting will likely cap his contact rate to some extent, it won't be to a degree that hinders his power output. 
There are still pretty big error bars when projecting De Vries' defensive future. Though he's a tall, bigger-framed athlete, the skinny-ankled De Vries has so far stayed lithe and agile enough to play a viable shortstop. He will contort himself to make some cool, acrobatic plays that take advantage of his plus raw arm strength, but his hands and range are merely sufficient for a shortstop, and he has had bouts of inaccuracy on deeper throws. We're cautiously optimistic about him staying at shortstop in a vacuum, with the primary threat to that being a slippage in range caused by him trending bulky in his mid-20s. De Vries' hands should improve with reps, and his solution to throwing inaccuracy has been to play hot potato with the baseball and quickly flick two-hoppers to first base. It isn't ideal, but it works. He looks much more comfortable airing it out as he moves from right to left across the bag. This comfort perhaps makes third base Plan B, as most plays there are made moving in that direction. Jacob Wilson is a better shortstop defender than De Vries, and that alone might be what precipitates a change, rather than De Vries' ability. Regardless, we think De Vries will contribute on both sides of the ball as a 30-homer, heart-of-the order hitter who is either a tenable shortstop or a plus third baseman.","QH-1G9NPhrw","sa3023363"
7,1,"Eli Willits","WSN","SS","A+",2029,"60","Med",1,"18.6333333","6' 1""","180","S","R",2025,"Draft","WSN",8200000,"Fort Cobb-Broxton HS (OK)","The son of speedy former Angels outfielder Reggie Willits, Eli was originally going to graduate in 2026, but he reclassified to 2025 and was still 17 (and a half) on draft day, when the Nationals made him the first overall pick and signed him for a whopping $8.2 million. Willits was assigned to Low-A Fredericksburg starting in late August and comported himself well there for the final few weeks of the season, slashing .300/.397/.360. He turned 18 during the Winter Meetings and is back with the Fred Nats to start 2026, where he's been a little slower out the gate (but looks fine). 
Willits' youth makes it easier to project that he'll add relevant strength to his kind of boxy, medium frame over the course of the next several years, and if that comes to fruition, we're talking about a true five-tool player. His track record as an amateur hitter was outstanding and he's a great shortstop defender — power is arguably the only piece of his prospect puzzle that's currently missing. Willits' swing looks like Colt Emerson's did three years ago. He creates big hip-and-hand separation, and his wrists turn over in that classically explosive, baseball-y way through contact. To say Willits was overwhelmed by pro velocity last year would be an overstatement (he hit .300), but again similar to Emerson, his spray chart against fastballs does not include pull-side contact; he has been a little too late against A-ball fastballs to pull them. This is sometimes a warning sign that a hitter's swing is too long for big league success, but it's too early to say that's true of Willits. He has plus hit tool projection, and we like the quality of his hitting hands enough to project nearly average raw power for him even though he's a smaller-framed athlete. 
And we don't want Willits to get too big, because excellent shortstop defense is a big part of his star-level forecast. He's a plus infield athlete with great range and body control, and he made some sensational plays in the hole to his right after the draft, adjusting well to the speed of the pro game. His arm is fine for shortstop, and he's one of the few players in the minors who makes us wish we still did present and future throw grades, because he's young and athletic enough to justify projection on a skill that tends to be static for most players. Willits' defense gives him a relatively high floor, and his feel for contact makes him a good bet to be an everyday shortstop eventually, but his profile's X-factor is his power, which could make him a franchise-altering star with Goldilocks Zone physical growth.","CFwGfnIvktU","sa3069164"
8,1,"Seth Hernandez","PIT","SP","A+",2027,"60","High",,"20.0805555","6' 4""","200","R","R",2025,"Draft","PIT",7250000,"Corona HS (CA)","A sensational athlete with an ideal pitcher's frame, Hernandez has monster arm strength and potentially huge secondary stuff. His prototypical size, athleticism, arm strength, and changeup quality put him in the top tier of high school pitching prospects form the last decade or so, and he signed with the Pirates for $7.25 million as the sixth overall pick rather than head to Vanderbilt. Though he didn't pitch in an official game after last year's draft, Hernandez did pitch during instructs, including in the Dominican Republic, where he was his usual 95-100 mph with stunning ease. As his pro career officially got underway this spring, his stuff so overwhelmed Low-A hitters (0.96 ERA, just over 16 strikeouts per nine) that he was promoted to High-A Greensboro after just six starts, and it might take until he's promoted to Double-A before anyone can actually challenge him. Hernandez throws so hard (he's parked in the 94-98 range and has touched 102 this spring) that lower-level hitters need to cheat to catch up to his fastball. As a result, they are coming completely unglued when he throws his secondary pitches, all of which have absurd miss rates above 70% as of this update. For context, Mason Miller's slider has a 54% miss rate since 2024. 
Hernandez's secondary stuff isn't god-like (though his changeup might be at peak), but his breaking pitches have become better demarcated and located compared to when he was in high school. Go back and watch him at national events from his pre-draft summer, and his breaking pitches are mostly failing to finish and hovering above the zone, ranging anywhere from 80-87 mph with inconsistent shape. Now he has two distinct offerings that he is regularly locating in the strike zone. His slider is averaging 87 mph and has been up to 91 with two-plane movement, while his curveball has been in the 77-83 mph range and has vertical depth. The shape of his curve has changed enough that it's going to give him a second weapon with which to attack lefties. Hernandez's arm speed is incredible and helps to sell his changeup like a podcaster's questionable supplements. Sometimes it has typical changeup movement, while at others, it sinks straight down more like a splitter. This is the pitch Hernandez is best able to command, and it's going to be a dominant big league offering at peak.
Hernandez's game has some pimples, but they should clear up with reps, and some of them have already begun to. His fastball had hittable shape in high school, but he's doing a better job of staying behind the baseball and creating more effective rise/run movement (17 inches of vert, 13 horizontal) on the pitch. It's still ""merely"" generating above-average whiff and chase, but that's more due to fringe command than a round-down movement profile. His arm swing is very long and might eventually need to be shortened if Hernandez's control stagnates, but it's tough to make proactive changes like that when the player in question is dominating to this degree. This is a remarkable athlete — Hernandez is a strapping 6-foot-4, he generates seven feet of extension, and he was a great high school power hitter and defensive first baseman — who has already improved a lot. The rate at which he's progressing is incredibly exciting, and it looks like the Pirates having gambled on upside is once again going to pay off in a big way. Much like with Bubba Chandler (Seth's secondary pitches are way ahead of Bubba's at the same age), it may take a little while before we see peak big league Hernandez as he finds more consistent feel for his fastball, but once polished, we're talking about one of the best pitchers in baseball.","Vg6DQQ9ltfA","sa3069247"
9,1,"Thomas White","MIA","SP","AAA",2027,"60","High",,"21.8277777","6' 5""","210","L","L",2023,"Draft","MIA",4100000,"Phillips Academy (MA)","White was one of the top pitchers on our offseason Top 100 list. He has endured an injury-plagued 2026: He missed time this spring with an oblique strain, and is now likely out for the season recovering from a capsular sprain in his shoulder. While healthy, he flashed the dominant stuff — and underbaked control — that characterized his profile entering the year. The injury is a bummer, but for now we don't see it as a career-altering setback, and have made minimal changes to his report. 
White has been a tantalizing projectable lefty for a minute now, and the way he looks fully realized adheres to the rule of three. First, he's grown into a jacked 6-foot-5, 240-pound build while maintaining fluidity all the way down to a loose, and also fairly long, arm stroke. Second, he touched 100 mph last season and held 94-97 through 89.2 innings, while fashioning a shorter, harder, mid-80s version of his sweeper that carved hitters to a 48% miss rate. Finally, he racked up 145 strikeouts across a season that saw him pitch across three levels, ending up at Triple-A, where his fastball was still whizzing by bats with major league experience. Combine that with a changeup that is firm, but that he kills a tremendous amount of spin on and also reliably locates out of danger, and White is a 21-year-old left-hander who has three pitches playing like 60s or better at Triple-A. He wasn't quite as overpowering in his 18.2 innings at Jacksonville this spring, but he still struck out 32.7% of opponents. 
Despite decent athleticism and a loose arm swing, White has been a below-average strike-thrower over the last couple of years. He ran a sub-10% walk rate in 2024, but got stuck in his back leg a lot throughout the past year and change, which has put a serious crimp in his delivery extension. The shorter stride is very difficult to time up with White's longer arm action, and he’s often late into the firing position. In the long run, White's operation is athletic enough to buy into the idea that he can sync up his upper and lower halves. If he doesn't, his stuff is still nasty enough to be a frustrating mid-rotation starter. With a return to good health, there’s no reason he can't make his debut sometime in 2027.","VtA-1dIeaqU","sa3023268"
10,2,"Ryan Sloan","SEA","SP","AA",2027,"55","Med",,"20.4944444","6' 5""","220","R","R",2024,"Draft","SEA",3000000,"York HS (IL)","Can I interest you in three plus pitches? How about from a good athlete with a traditional, workhorse build? Maybe if I told you he ran a sub-2.00 per nine walk rate across both levels of A-ball as a 19-year-old? 
Sloan was an over-slot second-round selection out of an Illinois high school in the 2024 draft and it sure looks like the Mariners nailed the pick. He’s a big, physical kid, and while there’s moderate effort to his delivery, the mechanics are simple and he repeats them well, especially for his age and build. He'll touch 99 and sits comfortably in the 94-97 mph range with a bit of life up in the zone. Both the slider and split project plus. The former is the less consistent of the two, but it flashes 70 with hard and late two-plane depth when Sloan spins it just right. Both are swing-and-miss pitches and go a long way toward explaining how he struck out 10 per nine while living in the strike zone.
Sloan throws a ton of strikes. He walked just 15 guys in 82 innings — none over a three-start cameo in High-A at the end of the year — and pounds the zone with the fastball in particular. He can hit the box with his secondaries as well, though they also generate a bunch of strikes below deck. The only real nitpick here is that Sloan locates mostly to the glove side. The way he falls off the rubber and takes his arm with him explains why, and while he'll probably develop more feel for the arm side as he progresses, that tendency could be fairly sticky. The predictability in his locations is the most obvious nitpick in his game, and finding a way to hit other spots should be a primary developmental priority in 2026. 
That shouldn’t detract much from all the good things going on here. We want to see Sloan stretched out more before we really go nuts, but this looks like a no. 2 starter, and he’s on the short list of minor leaguers who are even in the conversation for a no. 1 projection. The usual caveats apply: Pitching is volatile, throwing hard is risky, and you’d have more confidence in the long-term quality of his stuff if we'd seen him throw more than 70 pitches a start. But the upside is sky-high here, and it’s not too early to say Sloan is one of the best pitching prospects in baseball.","w0CLRLPv6ZI","sa3067131"
